1,Wolf,2022-12-01,11:24:11,1
2,Wolf,2022-12-01,23:42:00,2
3,Near_Muslim,2022-12-01,09:05:54,1
4,Near_Muslim,2022-12-01,23:42:00,2
5,Sprat_eater,2022-12-05,13:44:01,1
6,Sprat_eater,2022-12-05,23:42:00,2
7,Pirate,2022-12-07,00:00:00,1
8,Pirate,2022-12-07,23:59:59,2
9,Near_Muslim,2022-12-10,23:59:59,1
10,Near_Muslim,2022-12-11,02:42:59,2
11,Strangler,2022-12-11,05:41:34,1
12,Strangler,2022-12-11,20:30:47,2
13,Strangler,2022-12-24,10:14:22,1
14,Strangler,2022-12-24,12:29:17,2
15,Gabriel,2022-12-28,20:30:47,1
16,Gabriel,2022-12-29,00:49:44,2
17,Gabriel,2022-12-30,13:49:44,1
18,Gabriel,2022-12-31,05:17:02,2
19,Pirate,2022-12-30,19:07:45,1
20,Pirate,2022-12-31,03:17:55,2
21,Strangler,2023-01-01,00:00:00,1
22,Strangler,2023-01-01,23:59:59,2
23,Near_Muslim,2023-01-01,10:10:00,1
24,Near_Muslim,2023-01-01,22:05:59,2
25,Pirate,2023-01-01,00:00:00,1
26,Pirate,2023-01-01,00:59:59,2
27,Luisi,2023-01-10,08:50:52,1
28,Luisi,2023-01-10,17:04:02,2
29,Near_Muslim,2023-01-20,15:59:59,1
30,Near_Muslim,2023-01-20,23:59:52,2
31,Strangler,2023-01-30,09:41:34,1
32,Strangler,2023-01-30,20:00:47,2
33,Gabriel,2023-02-04,00:00:00,1
34,Gabriel,2023-02-05,00:50:44,2
35,Wolf,2023-02-04,03:15:54,1
36,Wolf,2023-02-04,11:24:14,2
37,Sprat_eater,2023-02-05,11:01:45,1
38,Sprat_eater,2023-02-05,19:14:34,2
39,Gabriel,2023-02-12,21:14:05,1
40,Gabriel,2023-02-13,00:07:42,2
41,Sprat_eater,2023-02-16,13:49:44,1
42,Sprat_eater,2023-02-17,05:17:02,2
43,Luisi,2023-02-25,19:07:45,1
44,Luisi,2023-02-25,22:14:04,2
45,Pirate,2023-02-27,10:08:21,1
46,Pirate,2023-02-27,20:05:17,2
47,Strangler,2023-03-07,00:00:00,1
48,Strangler,2023-03-08,09:04:16,2
49,Luisi,2023-03-07,01:14:00,1
50,Luisi,2023-03-07,17:04:02,2
51,Strangler,2023-03-08,19:50:52,1
52,Strangler,2023-03-08,21:04:02,2
